kid,value,idf
"0","3640","6.913775"
"1","3638","6.936157"
"2","3639","7.063242"
"3","3630","6.825256"
"4","3631","6.940280"
"5","3632","6.885996"
"6","3633","6.858967"
"7","3634","6.997682"
"8","3635","6.950665"
"9","3636","6.899789"
"10","3637","6.897807"
"11","3650","6.919830"
"12","3651","6.909759"
"13","0","6.942349"
"14","3649","6.876259"
"15","1","7.019807"
"16","2","6.921856"
"17","3","6.967507"
"18","4","6.858967"
"19","5","6.855165"
"20","6","6.907757"
"21","7","6.963270"
"22","3641","6.853269"
"23","8","6.897807"
"24","3642","6.999873"
"25","9","6.919830"
"26","3643","6.938217"
"27","3644","6.884041"
"28","3645","6.980328"
"29","3646","6.938217"
"30","3647","6.830796"
"31","3648","6.893854"
"32","3660","6.870461"
"33","3661","6.911765"
"34","3662","6.963270"
"35","3652","6.889917"
"36","3653","6.919830"
"37","3654","6.923887"
"38","3655","6.891884"
"39","3656","6.891884"
"40","3657","6.882090"
"41","3658","6.897807"
"42","3659","6.965386"
"43","3670","6.874322"
"44","3671","6.940280"
"45","3672","6.891884"
"46","3673","6.940280"
"47","3663","6.909759"
"48","3664","6.866615"
"49","3665","6.991139"
"50","3666","6.961158"
"51","3667","6.884041"
"52","3668","6.965386"
"53","3669","6.934101"
"54","3680","6.911765"
"55","3681","6.882090"
"56","3682","6.913775"
"57","3683","6.993315"
"58","3684","6.956947"
"59","3674","6.911765"
"60","3675","6.915790"
"61","3676","6.959051"
"62","3677","6.950665"
"63","3678","6.862784"
"64","3679","6.980328"
"65","3690","6.965386"
"66","3691","6.855165"
"67","3692","6.923887"
"68","3693","6.891884"
"69","3694","6.884041"
"70","3695","6.858967"
"71","3685","6.887955"
"72","3686","7.002068"
"73","3687","6.934101"
"74","3688","6.857064"
"75","3689","6.897807"
"76","3696","6.899789"
"77","3697","6.882090"
"78","3698","6.866615"
"79","3699","6.858967"
"80","36407","6.870461"
"81","36408","6.876259"
"82","36409","6.870461"
"83","36400","6.858967"
"84","36401","6.897807"
"85","36402","6.967507"
"86","36403","6.840099"
"87","36404","6.851377"
"88","36405","6.930003"
"89","36406","6.893854"
"90","36360","6.882090"
"91","36361","6.965386"
"92","36362","6.794429"
"93","36363","6.930003"
"94","36364","6.884041"
"95","61320","6.919830"
"96","36365","6.936157"
"97","61321","6.909759"
"98","61322","6.991139"
"99","61323","6.940280"
"100","61324","6.903765"
"101","61325","6.938217"
"102","61326","6.814267"
"103","61327","6.889917"
"104","61328","6.940280"
"105","61329","6.952754"
"106","61319","6.969633"
"107","75970","6.816090"
"108","75971","6.956947"
"109","75972","6.950665"
"110","75973","6.999873"
"111","36366","6.997682"
"112","75974","6.925921"
"113","36367","6.874322"
"114","75975","6.919830"
"115","36368","6.986801"
"116","75976","6.909759"
"117","36369","6.891884"
"118","75977","6.884041"
"119","75978","6.913775"
"120","75979","6.897807"
"121","36350","6.956947"
"122","36351","6.899789"
"123","36352","6.913775"
"124","61330","6.991139"
"125","36353","6.925921"
"126","61331","6.878199"
"127","36354","6.909759"
"128","61332","6.917808"
"129","61333","6.812447"
"130","61334","6.814267"
"131","61335","6.927960"
"132","61336","6.891884"
"133","61337","6.954849"
"134","61338","6.889917"
"135","61339","6.956947"
"136","75960","6.885996"
"137","75961","6.853269"
"138","75962","6.823416"
"139","36355","6.823416"
"140","75963","6.911765"
"141","36356","6.884041"
"142","75964","6.952754"
"143","36357","6.889917"
"144","75965","6.853269"
"145","36358","6.893854"
"146","75966","6.816090"
"147","36359","6.838231"
"148","75967","6.971763"
"149","75968","6.942349"
"150","75969","6.925921"
"151","36340","6.880142"
"152","61340","6.936157"
"153","36341","6.895829"
"154","61341","6.940280"
"155","36342","6.885996"
"156","61342","6.927960"
"157","36343","6.923887"
"158","61343","6.897807"
"159","61344","6.843844"
"160","61345","6.870461"
"161","61346","6.880142"
"162","61347","6.942349"
"163","61348","6.956947"
"164","61349","6.880142"
"165","75990","6.934101"
"166","75991","6.901775"
"167","75992","6.911765"
"168","75993","6.882090"
"169","75994","6.885996"
"170","75995","6.907757"
"171","36344","6.919830"
"172","75996","6.961158"
"173","36345","6.993315"
"174","75997","6.930003"
"175","36346","7.019807"
"176","75998","6.980328"
"177","36347","6.882090"
"178","75999","6.901775"
"179","36348","6.885996"
"180","36349","6.882090"
"181","61350","6.870461"
"182","61351","6.917808"
"183","36330","6.825256"
"184","61352","6.891884"
"185","36331","6.921856"
"186","61353","6.925921"
"187","36332","6.849488"
"188","61354","6.767995"
"189","61355","6.913775"
"190","61356","6.930003"
"191","61357","6.952754"
"192","61358","6.940280"
"193","61359","6.915790"
"194","75980","6.862784"
"195","75981","7.024291"
"196","75982","6.841969"
"197","75983","6.961158"
"198","75984","6.903765"
"199","36333","6.876259"
"200","75985","6.882090"
"201","36334","6.876259"
"202","75986","6.938217"
"203","36335","6.932050"
"204","75987","6.971763"
"205","36336","6.917808"
"206","75988","6.783772"
"207","36337","6.930003"
"208","75989","6.895829"
"209","36338","6.891884"
"210","36339","6.973897"
"211","61360","6.838231"
"212","61361","6.965386"
"213","61362","6.889917"
"214","61363","6.925921"
"215","36320","6.816090"
"216","61364","6.915790"
"217","36321","6.851377"
"218","61365","6.868536"
"219","61366","6.885996"
"220","61367","6.889917"
"221","61368","6.936157"
"222","61369","7.010898"
"223","36322","6.860874"
"224","36323","6.847603"
"225","36324","6.948579"
"226","36325","6.893854"
"227","36326","6.982481"
"228","36327","6.880142"
"229","36328","6.843844"
"230","36329","6.868536"
"231","61370","6.872390"
"232","61371","6.917808"
"233","61372","6.885996"
"234","61373","6.814267"
"235","61374","6.870461"
"236","61375","6.927960"
"237","36310","6.925921"
"238","61376","6.838231"
"239","61377","6.866615"
"240","61378","6.887955"
"241","61379","6.988967"
"242","36319","6.956947"
"243","36311","6.884041"
"244","36312","6.901775"
"245","36313","6.921856"
"246","36314","6.907757"
"247","36315","6.876259"
"248","36316","6.868536"
"249","36317","6.885996"
"250","36318","6.991139"
"251","61380","6.913775"
"252","61381","6.930003"
"253","61382","6.936157"
"254","61383","6.887955"
"255","61384","6.864698"
"256","61385","6.982481"
"257","61386","6.884041"
"258","61387","6.967507"
"259","61388","6.905759"
"260","61389","6.887955"
"261","36308","7.010898"
"262","36309","6.897807"
"263","36300","6.891884"
"264","36301","6.927960"
"265","36302","6.885996"
"266","36303","6.925921"
"267","36304","6.903765"
"268","36305","6.936157"
"269","36306","6.959051"
"270","36307","6.965386"
"271","61391","6.969633"
"272","61392","6.884041"
"273","61393","6.952754"
"274","61394","6.940280"
"275","61395","6.976036"
"276","61396","6.901775"
"277","61397","6.940280"
"278","61398","6.917808"
"279","61399","6.889917"
"280","61390","6.887955"
"281","75905","7.010898"
"282","75906","7.006473"
"283","75907","6.967507"
"284","75908","6.905759"
"285","75909","6.899789"
"286","75910","6.827099"
"287","75911","6.942349"
"288","75912","6.952754"
"289","75913","6.946498"
